,Unnamed: 0,title,link,citations
33,33,Machine learning and law,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/washlr89&section=7,586.0
273,273,Machine-learning approaches in drug discovery: methods and applications,https://www.sciencedirect.com/science/article/pii/S1359644614004176,585.0
63,63,MLbase: A Distributed Machine-learning System.,http://cidrdb.org/cidr2013/Papers/CIDR13_Paper118.pdf,444.0
113,113,Machine learning and software engineering,https://link.springer.com/article/10.1023/A:1023760326768,214.0
190,190,A survey of multi-view machine learning,https://link.springer.com/article/10.1007/s00521-013-1362-6,829.0
266,266,mlr: Machine Learning in R,https://www.jmlr.org/papers/volume17/15-066/15-066.pdf,720.0
0,0,Machine learning,https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.04.060190.001351,211.0
209,209,Automatic differentiation in machine learning: a survey,https://www.jmlr.org/papers/volume18/17-468/17-468.pdf,1975.0
261,261,Argument based machine learning,https://www.sciencedirect.com/science/article/pii/S0004370207000690,170.0
289,289,Learning from machine learning in accounting and assurance,https://publications.aaahq.org/jeta/article-abstract/17/1/1/9326,35.0
87,87,Machine learning for molecular simulation,https://www.annualreviews.org/doi/abs/10.1146/annurev-physchem-042018-052331,366.0
116,116,From machine learning to deep learning: progress in machine intelligence for rational drug discovery,https://www.sciencedirect.com/science/article/pii/S1359644616304366,478.0
42,42,Machine learning and radiology,https://www.sciencedirect.com/science/article/pii/S1361841512000333,615.0
77,77,A survey on the explainability of supervised machine learning,https://www.jair.org/index.php/jair/article/view/12228,253.0
79,79,Machine learning in medicine,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.115.001593,1801.0
118,118,Dlib-ml: A machine learning toolkit,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,3202.0
188,188,Machine learning at central banks,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3031796,169.0
21,21,Machine learning that matters,https://arxiv.org/abs/1206.4656,324.0
228,228,Non-convex optimization for machine learning,https://www.nowpublishers.com/article/Details/MAL-058,415.0
260,260,Machine learning in the electrocardiogram,https://www.sciencedirect.com/science/article/pii/S0022073619304571,67.0
56,56,Introduction to machine learning,https://link.springer.com/protocol/10.1007/978-1-62703-748-8_7,294.0
112,112,Machine learning in agriculture: A review,https://www.mdpi.com/327494,1444.0
73,73,Adversarial machine learning,https://dl.acm.org/doi/abs/10.1145/2046684.2046692,1219.0
152,152,Machine learning of temporal relations,https://aclanthology.org/P06-1095.pdf,345.0
245,245,Transfer learning,https://www.igi-global.com/chapter/transfer-learning/36988,1968.0
103,103,Gaussian processes for machine learning,https://www.worldscientific.com/doi/abs/10.1142/S0129065704001899,875.0
251,251,Machine learning models that remember too much,https://dl.acm.org/doi/abs/10.1145/3133956.3134077,386.0
187,187,"Machine learning, social learning and the governance of self-driving cars",https://journals.sagepub.com/doi/abs/10.1177/0306312717741687,324.0
173,173,Wrapper maintenance: A machine learning approach,https://www.jair.org/index.php/jair/article/view/10325,256.0
110,110,Learning scikit-learn: machine learning in python,https://books.google.com/books?hl=pl&lr=&id=OOotAgAAQBAJ&oi=fnd&pg=PT7&dq=machine+learning&ots=46v1sJ7Ng8&sig=Shu38GiiCUeLYfEcnpS9JnsLuJk,281.0
276,276,A survey on machine-learning techniques in cognitive radios,https://ieeexplore.ieee.org/abstract/document/6336689/,598.0
202,202,Pylearn2: a machine learning research library,https://arxiv.org/abs/1308.4214,357.0
281,281,Survey of machine learning techniques in drug discovery,https://www.ingentaconnect.com/content/ben/cdm/2019/00000020/00000003/art00006,162.0
106,106,An introduction to machine learning,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/cpt.1796,140.0
299,299,"The immune system, adaptation, and machine learning",https://www.sciencedirect.com/science/article/pii/016727898690240X,2176.0
34,34,The SHOGUN machine learning toolbox,https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf,364.0
141,141,The ALAMO approach to machine learning,https://www.sciencedirect.com/science/article/pii/S0098135417300662,140.0
252,252,Accelerating the machine learning lifecycle with MLflow.,https://www-cs.stanford.edu/people/matei/papers/2018/ieee_mlflow.pdf,237.0
121,121,Machine learning approaches to manufacturing,https://www.sciencedirect.com/science/article/pii/S0007850618302166,243.0
157,157,On-line algorithms in machine learning,https://link.springer.com/content/pdf/10.1007/BFb0029575.pdf,333.0
2,2,Quantum machine learning,https://www.nature.com/articles/nature23474,2296.0
186,186,A machine learning approach to android malware detection,https://ieeexplore.ieee.org/abstract/document/6298824/,424.0
218,218,Machine learning in virtual screening,https://www.ingentaconnect.com/content/ben/cchts/2009/00000012/00000004/art00002,203.0
133,133,A survey of deep learning and its applications: a new paradigm to machine learning,https://link.springer.com/article/10.1007/s11831-019-09344-w,491.0
51,51,Techniques for interpretable machine learning,https://dl.acm.org/doi/fullHtml/10.1145/3359786,764.0
259,259,Machine learning techniques in spam filtering,https://courses.cs.ut.ee/2004/dm-seminar-spring/uploads/Main/P06.pdf,199.0
46,46,Interpretable machine learning in healthcare,https://dl.acm.org/doi/abs/10.1145/3233547.3233667,426.0
123,123,A review of supervised machine learning algorithms,https://ieeexplore.ieee.org/abstract/document/7724478/,523.0
170,170,Weka: A machine learning workbench,https://ieeexplore.ieee.org/abstract/document/396988/,1404.0
229,229,Cryptography and machine learning,https://link.springer.com/chapter/10.1007/3-540-57332-1_36,114.0
