,k,min_df,rm_top,vars,alpha,eta,mu,nu_sq,glm_param,seed,mape
0,20,0,0,l,0.3,0.2,0.2,1,1,123,401.55431391148454
1,20,0,5,l,0.1,0.1,0.1,1,1,123,411.1682249162395
2,10,0,5,l,0.3,0.05,0.1,1,1,123,410.34552553121813
3,20,0,5,l,0.3,0.01,0.2,1,1,123,74.1944115743613
4,20,0,5,l,0.1,0.01,0.0,1,1,123,25.392505694092005
5,25,0,1,l,0.3,0.2,0.2,1,1,123,380.57445726676264
6,20,0,1,l,0.2,0.01,0.0,1,1,123,112.17161084728953
7,5,0,0,l,0.2,0.2,0.0,1,1,123,415.73596674947504
8,15,0,1,l,0.3,0.01,0.2,1,1,123,103.04173521842785
9,25,0,2,l,0.3,0.05,0.2,1,1,123,291.99189458050296
10,5,0,0,l,0.3,0.05,0.1,1,1,123,365.62139332582046
11,20,0,5,l,0.3,0.1,0.2,1,1,123,409.05103464001644
12,15,0,0,l,0.2,0.01,0.2,1,1,123,136.61593250578463
13,10,0,0,l,0.3,0.05,0.2,1,1,123,395.13449853798335
14,25,0,2,l,0.2,0.1,0.2,1,1,123,390.5725257993692
15,25,0,0,l,0.3,0.01,0.0,1,1,123,1.054078950087921
16,15,0,5,l,0.2,0.2,0.0,1,1,123,413.598666987162
17,15,0,1,l,0.1,0.2,0.0,1,1,123,410.15890255893146
18,5,0,1,l,0.2,0.01,0.2,1,1,123,399.1606183248564
19,5,0,2,l,0.1,0.2,0.0,1,1,123,415.7035187243071
20,25,0,0,l,0.1,0.1,0.0,1,1,123,327.50750850513924
21,5,0,0,l,0.1,0.05,0.2,1,1,123,365.60823932517974
22,15,0,1,l,0.3,0.1,0.1,1,1,123,357.2790433968996
23,25,0,5,l,0.2,0.01,0.0,1,1,123,0.8481746434862298
24,15,0,5,l,0.1,0.01,0.0,1,1,123,145.06088084238715
25,20,0,1,l,0.1,0.2,0.1,1,1,123,409.12124337611635
26,20,0,0,l,0.3,0.1,0.1,1,1,123,365.77363768948163
27,10,0,2,l,0.1,0.05,0.1,1,1,123,396.9447426147298
28,5,0,1,l,0.1,0.01,0.1,1,1,123,399.1403670502961
29,15,0,1,l,0.1,0.01,0.1,1,1,123,122.27937075697388
